DLY-TMIN-NORMAL,DLY-TMAX-NORMAL,MTD-PRCP-NORMAL,STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE
485,733,39,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100905
481,729,46,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100906
476,725,54,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100907
472,720,61,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100908
468,716,68,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100909
463,711,75,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100910
459,707,82,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100911
454,702,89,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100912
450,697,96,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100913
445,693,103,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100914
441,688,109,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100915
436,684,116,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100916
431,679,122,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100917
427,674,129,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100918
422,669,135,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100919
418,665,142,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100920
413,660,148,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100921
409,655,154,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100922
404,650,161,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100923
400,646,168,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100924
395,641,174,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100925
391,636,181,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100926
387,631,188,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100927
